"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.938974700E-2,1.438684613E-1,5.937191099E-2,9.823433876E0,9.824666726E0
5.194568400E-2,1.440180093E-1,6.206383556E-2,9.827621460E0,9.828872604E0
5.455750700E-2,1.419242918E-1,6.206383556E-2,9.831360817E0,9.832581041E0
5.716933000E-2,1.402792335E-1,6.460621208E-2,9.834650993E0,9.835863581E0
5.978120500E-2,1.413260847E-1,6.684948504E-2,9.837791443E0,9.839033611E0
6.239313200E-2,1.422234029E-1,6.669992954E-2,9.845417976E0,9.846671088E0
6.500516400E-2,1.456630826E-1,6.669992954E-2,9.852148056E0,9.853450560E0
6.761719500E-2,1.441675574E-1,5.967101455E-2,9.846465111E0,9.847701259E0
7.022922600E-2,1.491027623E-1,5.742774159E-2,9.845269203E0,9.846565658E0
7.284125700E-2,1.511964798E-1,5.802594870E-2,9.841979027E0,9.843311361E0
7.545328900E-2,1.531406492E-1,5.398806185E-2,9.846465111E0,9.847803915E0
7.806532000E-2,1.525424421E-1,5.518447235E-2,9.847960472E0,9.849296421E0
8.067735100E-2,1.497009695E-1,6.116652861E-2,9.849605560E0,9.850933023E0
8.328938200E-2,1.450648755E-1,6.909275055E-2,9.851100922E0,9.852411227E0
8.590141400E-2,1.363908947E-1,6.655038148E-2,9.843025208E0,9.844195075E0
8.851344500E-2,1.328016520E-1,7.073781639E-2,9.839884758E0,9.841035117E0
9.112547600E-2,1.296610832E-1,7.447660714E-2,9.844520569E0,9.845656098E0
9.373750700E-2,1.295115203E-1,7.776673883E-2,9.843772888E0,9.844931974E0
9.634953900E-2,1.319043487E-1,7.851449400E-2,9.845717430E0,9.846913983E0
9.896157000E-2,1.341476142E-1,7.686942816E-2,9.847512245E0,9.848725903E0
1.015736010E-1,1.336989701E-1,7.313064486E-2,9.851699829E0,9.852878413E0
1.041856320E-1,1.265204996E-1,6.535396725E-2,9.850802422E0,9.851831653E0
1.067976640E-1,1.265204996E-1,5.997011811E-2,9.858728409E0,9.859722597E0
1.094096950E-1,1.266700476E-1,5.548357591E-2,9.860971451E0,9.861941071E0
1.120217260E-1,1.268195957E-1,5.413761362E-2,9.865308762E0,9.866272399E0
1.146337570E-1,1.247258782E-1,4.815555736E-2,9.869346619E0,9.870252184E0
1.172457890E-1,1.278664619E-1,4.785645381E-2,9.870692253E0,9.871636421E0
1.198578200E-1,1.283151209E-1,5.009972304E-2,9.869496346E0,9.870457581E0
1.224698510E-1,1.241276711E-1,4.292125627E-2,9.861569405E0,9.862443969E0
