"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.715494900E-2,4.651049152E-2,7.492525876E-2,9.854391098E0,9.854785687E0
4.971213600E-2,4.710869491E-2,8.060821146E-2,9.854840279E0,9.855282534E0
5.232656300E-2,4.546362907E-2,8.344969153E-2,9.855438232E0,9.855896385E0
5.494099000E-2,4.411766678E-2,9.302098304E-2,9.853643417E0,9.854181238E0
5.755536500E-2,4.546362907E-2,9.930214286E-2,9.852148056E0,9.852753380E0
6.016974000E-2,4.202394933E-2,9.302098304E-2,9.846465111E0,9.846994165E0
6.278411500E-2,4.546362907E-2,9.391828626E-2,9.845269203E0,9.845822123E0
6.539849000E-2,5.084748194E-2,9.466604888E-2,9.841979027E0,9.842565636E0
6.801286500E-2,5.578267947E-2,9.795618057E-2,9.841679573E0,9.842325129E0
7.062724000E-2,5.772684515E-2,9.855438024E-2,9.841529846E0,9.842192595E0
7.324151100E-2,5.967101455E-2,9.675976634E-2,9.841380119E0,9.842036666E0
7.585578200E-2,5.907280743E-2,9.765707701E-2,9.841529846E0,9.842191637E0
7.847005300E-2,5.159523711E-2,9.167502075E-2,9.832258224E0,9.832820967E0
8.108432400E-2,4.890331253E-2,9.496514499E-2,9.830613136E0,9.831193445E0
8.369859500E-2,4.441677034E-2,9.810572863E-2,9.833903313E0,9.834492968E0
8.631286500E-2,4.292125627E-2,1.009472087E-1,9.832108498E0,9.832720381E0
8.892713600E-2,4.172484577E-2,1.010967568E-1,9.835548401E0,9.836156458E0
9.154140700E-2,4.082753509E-2,1.037886813E-1,9.838688850E0,9.839320976E0
9.415567800E-2,4.022933170E-2,1.039382368E-1,9.841529846E0,9.842160904E0
9.676994900E-2,3.514458239E-2,9.945169091E-2,9.834650993E0,9.835216619E0
9.938422000E-2,3.454637527E-2,1.018445119E-1,9.834949493E0,9.835537469E0
1.019984900E-1,3.409772366E-2,1.040877849E-1,9.835398674E0,9.836008540E0
1.046127610E-1,3.634099290E-2,1.085743308E-1,9.838239670E0,9.838905877E0
1.072270320E-1,4.082753509E-2,1.126122177E-1,9.843324661E0,9.844053473E0
1.098413030E-1,4.232304916E-2,1.185942739E-1,9.847810745E0,9.848615756E0
1.124555740E-1,4.157529399E-2,1.215853021E-1,9.851848602E0,9.852686556E0
1.150698450E-1,3.634099290E-2,1.173978597E-1,9.843772888E0,9.844539989E0
1.176841150E-1,3.798605874E-2,1.175474152E-1,9.840632439E0,9.841407782E0
1.202983860E-1,3.963112459E-2,1.202393398E-1,9.840333939E0,9.841148315E0
1.229126570E-1,4.351946339E-2,1.226321608E-1,9.840184212E0,9.841044554E0
1.255269280E-1,4.456632212E-2,1.200897843E-1,9.840184212E0,9.841017886E0
1.281411990E-1,4.576273263E-2,1.203888878E-1,9.837941170E0,9.838784182E0
1.307554700E-1,4.680959135E-2,1.208375469E-1,9.833603859E0,9.834457672E0
1.333697400E-1,4.097708687E-2,1.118644550E-1,9.822985649E0,9.823708049E0
1.359708340E-1,3.963112459E-2,1.079761237E-1,9.822387695E0,9.823061107E0
1.385460950E-1,4.097708687E-2,1.022931710E-1,9.821938515E0,9.822556653E0
1.411083860E-1,4.232304916E-2,9.257232398E-2,9.821788788E0,9.822316217E0
1.436705740E-1,4.845465720E-2,8.898308873E-2,9.819247246E0,9.819769973E0
1.462330220E-1,5.144568533E-2,8.599206060E-2,9.824331284E0,9.824842312E0
1.487953650E-1,5.189434066E-2,8.359923959E-2,9.826575279E0,9.827067903E0
1.513572400E-1,4.531407729E-2,7.447660714E-2,9.826425552E0,9.826812264E0
1.539188550E-1,4.591228440E-2,7.283154130E-2,9.827771187E0,9.828148293E0
1.564806780E-1,4.890331253E-2,7.387840003E-2,9.831509590E0,9.831908786E0
1.590427090E-1,4.920241609E-2,7.492525876E-2,9.834799767E0,9.835208240E0
1.616048450E-1,5.204389244E-2,7.118647546E-2,9.842726707E0,9.843121716E0
1.641673450E-1,5.219344422E-2,7.283154130E-2,9.847362518E0,9.847770162E0
1.667303130E-1,5.009972304E-2,7.208377868E-2,9.851400375E0,9.851791482E0
1.692934380E-1,3.903292120E-2,6.445665658E-2,9.845867157E0,9.846155509E0
1.718563550E-1,3.798605874E-2,6.161518395E-2,9.847063065E0,9.847329098E0
1.744186990E-1,3.963112459E-2,6.640082598E-2,9.846016884E0,9.846320540E0
1.769807300E-1,4.112663865E-2,7.088737190E-2,9.847512245E0,9.847853260E0
1.795428130E-1,4.725824669E-2,7.477571070E-2,9.853793144E0,9.854190179E0
