"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.364770900E-2,2.262114763E0,9.636943817E0,-8.304589987E-1,9.933655495E0
2.625880300E-2,2.260918379E0,9.646814346E0,-8.519943953E-1,9.944781214E0
2.886974000E-2,2.250599146E0,9.657880783E0,-8.706883192E-1,9.954795622E0
3.148073000E-2,2.236840487E0,9.662965775E0,-8.869894147E-1,9.958067741E0
3.409171900E-2,2.220090866E0,9.665059090E0,-9.034401178E-1,9.957829819E0
3.670270900E-2,2.193620205E0,9.659974098E0,-9.154042006E-1,9.948117110E0
3.931375100E-2,2.156381845E0,9.646215439E0,-9.327521920E-1,9.928216436E0
4.192494800E-2,2.120489597E0,9.630811691E0,-9.463613629E-1,9.906796142E0
4.453614600E-2,2.084447622E0,9.615109444E0,-9.581758976E-1,9.885006452E0
4.714744800E-2,2.048256159E0,9.598958015E0,-9.684949517E-1,9.862724306E0
4.975875100E-2,2.011915207E0,9.582656860E0,-9.821041226E-1,9.840713582E0
5.237015700E-2,1.977817416E0,9.568598747E0,-9.939187169E-1,9.821289026E0
5.498156300E-2,1.940878272E0,9.551549911E0,-1.006481051E0,9.798577360E0
5.759296900E-2,1.906481385E0,9.532108307E0,-1.026670456E0,9.774958428E0
6.020448000E-2,1.880309939E0,9.521490097E0,-1.035793066E0,9.760492119E0
6.281599000E-2,1.852792501E0,9.512217522E0,-1.041326523E0,9.746767831E0
6.542750100E-2,1.828714728E0,9.504141808E0,-1.041176915E0,9.734318591E0
6.803901100E-2,1.802991867E0,9.499805450E0,-1.036092162E0,9.724740112E0
7.065052100E-2,1.780708671E0,9.493523598E0,-1.029212832E0,9.713763057E0
7.326203200E-2,1.761267066E0,9.488289833E0,-1.018146038E0,9.703933583E0
7.587354200E-2,1.739731669E0,9.479166985E0,-1.013061285E0,9.690591632E0
7.848505300E-2,1.727169275E0,9.482307434E0,-9.951151013E-1,9.689557371E0
8.109656300E-2,1.721187234E0,9.485149384E0,-9.768698215E-1,9.689417886E0
8.370807300E-2,1.718345761E0,9.492477417E0,-9.584749937E-1,9.694251595E0
8.631958400E-2,1.720888138E0,9.499056816E0,-9.421738982E-1,9.699547826E0
8.893109400E-2,1.723131418E0,9.507431984E0,-9.230313301E-1,9.706308858E0
9.154260500E-2,1.722832322E0,9.517152786E0,-9.110672474E-1,9.714648316E0
9.415411500E-2,1.720589042E0,9.518797874E0,-9.097212553E-1,9.715736328E0
9.676562600E-2,1.724776506E0,9.528967857E0,-9.022436738E-1,9.725745528E0
9.937713600E-2,1.731057644E0,9.537940979E0,-9.028418660E-1,9.735707582E0
1.019886460E-1,1.736590981E0,9.548259735E0,-9.080761671E-1,9.747287547E0
1.046001570E-1,1.739133358E0,9.564560890E0,-9.148060083E-1,9.764337146E0
1.072116670E-1,1.741526246E0,9.583852768E0,-9.254241586E-1,9.784659290E0
1.098231780E-1,1.746162295E0,9.608079910E0,-9.346963167E-1,9.810093757E0
1.124315110E-1,1.748106480E0,9.627073288E0,-9.495019317E-1,9.830461346E0
1.150143760E-1,1.758425593E0,9.645169258E0,-9.587741494E-1,9.850918660E0
1.175747400E-1,1.767697692E0,9.658778191E0,-9.713364244E-1,9.867129558E0
1.201350530E-1,1.775773525E0,9.673134804E0,-9.847960472E-1,9.883963365E0
