"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.813104500E-2,9.830014706E-1,1.282702446E0,9.606884003E0,9.741860074E0
3.074281600E-2,9.649057388E-1,1.290778279E0,9.602546692E0,9.736840074E0
3.335474300E-2,9.468100071E-1,1.300349593E0,9.598808289E0,9.732650143E0
3.596677500E-2,9.237790704E-1,1.308874011E0,9.595667839E0,9.728481908E0
3.857875400E-2,8.920741677E-1,1.304686546E0,9.590881348E0,9.720237051E0
4.119078500E-2,8.659027219E-1,1.312164068E0,9.595368385E0,9.723304814E0
4.380281600E-2,8.380861282E-1,1.318594813E0,9.604191780E0,9.730446053E0
4.641484700E-2,8.092226982E-1,1.324576855E0,9.621540070E0,9.745941644E0
4.902693100E-2,7.817052603E-1,1.332203984E0,9.646514893E0,9.769395076E0
5.163901400E-2,7.577770352E-1,1.336541057E0,9.678070068E0,9.799265701E0
5.425109700E-2,7.393822074E-1,1.338186026E0,9.715308189E0,9.834868637E0
5.686318100E-2,7.163512707E-1,1.332802176E0,9.750602722E0,9.867308358E0
5.947526400E-2,7.000501752E-1,1.336541057E0,9.790233612E0,9.905810740E0
6.208734700E-2,6.930212379E-1,1.340130210E0,9.832108498E0,9.947189800E0
6.469943100E-2,6.894320250E-1,1.345663667E0,9.868897438E0,9.984050474E0
6.731151400E-2,6.936194897E-1,1.345962763E0,9.901201248E0,1.001631219E1
6.992359700E-2,6.975077987E-1,1.341476202E0,9.932008743E0,1.004643585E1
7.253568100E-2,7.129116058E-1,1.335195065E0,9.959077835E0,1.007344133E1
7.514776400E-2,7.266703248E-1,1.325324655E0,9.975827217E0,1.008968106E1
7.775984700E-2,7.474579811E-1,1.322931767E0,9.994521141E0,1.010936668E1
8.037193100E-2,7.728816867E-1,1.320987701E0,1.000842953E1,1.012477240E1
8.298401400E-2,7.975577116E-1,1.316949725E0,1.002323532E1,1.014079391E1
8.559609700E-2,8.193922043E-1,1.316052437E0,1.003385353E1,1.015291162E1
