"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.701099500E-2,1.221386433E0,1.801346779E0,9.517900467E0,9.763557975E0
2.962271300E-2,1.202393413E0,1.800000787E0,9.519994736E0,9.762994035E0
3.223464000E-2,1.171735287E0,1.791775465E0,9.512816429E0,9.750748654E0
3.484667200E-2,1.144068360E0,1.793420553E0,9.510273933E0,9.745283987E0
3.745870300E-2,1.110269666E0,1.797159314E0,9.508179665E0,9.740018525E0
4.007078600E-2,1.068993568E0,1.803141356E0,9.501599312E0,9.730079932E0
4.268287000E-2,1.025773168E0,1.808375716E0,9.491280556E0,9.716318228E0
4.529495300E-2,9.833005667E-1,1.808375716E0,9.479914665E0,9.700818769E0
4.790703600E-2,9.438189864E-1,1.810918093E0,9.467801094E0,9.685529215E0
5.051912000E-2,8.952147961E-1,1.806132436E0,9.447761536E0,9.660420381E0
5.313120300E-2,8.540881276E-1,1.810768485E0,9.436694145E0,9.646737554E0
5.574328600E-2,8.183453679E-1,1.817199230E0,9.424580574E0,9.632996480E0
5.835537000E-2,7.872386575E-1,1.823031783E0,9.418897629E0,9.625945259E0
6.096745300E-2,7.624131441E-1,1.823480368E0,9.414112091E0,9.619348258E0
6.357953600E-2,7.408776879E-1,1.826321840E0,9.412467003E0,9.616594319E0
6.619162000E-2,7.293622494E-1,1.828864217E0,9.415906906E0,9.619564256E0
6.880370300E-2,7.147062421E-1,1.824377656E0,9.412018776E0,9.613805505E0
7.141578600E-2,7.105187774E-1,1.829013824E0,9.414859772E0,9.617157222E0
7.402787000E-2,7.118647099E-1,1.828415632E0,9.422337532E0,9.624463604E0
7.663995300E-2,7.179963589E-1,1.823181272E0,9.426525116E0,9.628025991E0
7.925203600E-2,7.209873796E-1,1.814058661E0,9.432806015E0,9.632676728E0
8.186412000E-2,7.262216806E-1,1.803739667E0,9.443124771E0,9.641238518E0
8.447620300E-2,7.332506180E-1,1.799701691E0,9.454640388E0,9.652295453E0
8.708828600E-2,7.301099896E-1,1.791476369E0,9.462716103E0,9.658439015E0
8.970037000E-2,7.311568856E-1,1.788335800E0,9.480812073E0,9.675667051E0
9.231245300E-2,7.299604416E-1,1.785643935E0,9.508628845E0,9.702339358E0
9.492453600E-2,7.265207767E-1,1.785793424E0,9.538089752E0,9.730983851E0
9.753662000E-2,7.236793041E-1,1.790878177E0,9.566205978E0,9.759264993E0
1.001487030E-1,7.214360237E-1,1.797757506E0,9.593423843E0,9.787041587E0
1.027607860E-1,7.170990109E-1,1.806431532E0,9.617352486E0,9.811773270E0
1.053728700E-1,7.039384842E-1,1.809422612E0,9.631410599E0,9.825151892E0
1.079849530E-1,6.892824769E-1,1.820788503E0,9.652347565E0,9.846735226E0
1.105970360E-1,6.740282178E-1,1.833201289E0,9.668349266E0,9.863666587E0
1.132007340E-1,6.536892653E-1,1.844118476E0,9.668199539E0,9.864185974E0
1.157789630E-1,6.312565207E-1,1.856232166E0,9.660871506E0,9.857815219E0
1.183401610E-1,6.092724800E-1,1.864607096E0,9.652347565E0,9.849659186E0
1.209014630E-1,5.926722288E-1,1.874477386E0,9.640084267E0,9.838503469E0
1.234626090E-1,5.784648657E-1,1.876122475E0,9.615407944E0,9.813792695E0
1.260238070E-1,5.817549825E-1,1.881506324E0,9.590433121E0,9.790552198E0
